classe_id,nome_classe,date_escluse
3,4B,2-6 marzo
4,4C,2-6 marzo
5,5B,15 gennaio
6,5C,15 gennaio
8,5DNO,"5 febbraio pomeriggio, 11 febbraio pomeriggio, 12 febbraio pomeriggio, 16 febbraio pomeriggio, 17 febbraio mattina e pomeriggio, 18 febbraio mattina e pomeriggio"
15,3AtMb,"8-23 gennaio, 25-27 marzo"
16,3InA,"8-23 gennaio, 25-27 marzo"
17,4AtA,"8-23 gennaio, 1-14 febbraio, 20-24 aprile"
18,4MA,"8-23 gennaio, 1-14 febbraio, 20-24 aprile"
19,5AtIB,"8-23 gennaio, 23-28 febbraio"
20,5MBCH,"8-23 gennaio, 23-28 febbraio"
40,4G,"8 gennaio, 14 gennaio, 22 gennaio, 2 gennaio, 5 febbraio"
43,3DSA,20-28 gennaio pomeriggio
44,3I,20-28 gennaio pomeriggio
45,4ASA,20-28 gennaio pomeriggio
46,4B,20-28 gennaio pomeriggio
47,4BSA,20-28 gennaio pomeriggio
48,4C,20-28 gennaio pomeriggio
49,4CSA,20-28 gennaio pomeriggio
50,4H,20-28 gennaio pomeriggio
51,5C,20-28 gennaio pomeriggio
