classe_id,nome_classe,fasce_disponibili,preferenza,giorni_settimana
1,3A,"mattino1, mattino2",,
2,3C,"mattino1, mattino2",,
3,4B,"mattino1, mattino2",,
4,4C,"mattino1, mattino2",,
5,5B,"mattino1, mattino2",,
6,5C,"mattino1, mattino2",,
7,4BNO,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì"
8,5DNO,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì"
9,3BLSA,"mattino1, mattino2",,
10,3CI,"mattino1, mattino2, pomeriggio",,
11,4ALSA,"mattino1, mattino2, pomeriggio",,"lunedì, martedì, mercoledì pomeriggio, giovedì pomeriggio, venerdì"
12,4CI,"mattino1, mattino2, pomeriggio",,"lunedì, martedì, mercoledì pomeriggio, giovedì pomeriggio, venerdì"
13,5DI,"mattino1, mattino2, pomeriggio",disponibile,"lunedi, martedi, mercoledi pomeriggio, giovedi pomeriggio, venerdi"
14,5ALSA,"mattino1, mattino2, pomeriggio",disponibile,"lunedi, martedi, mercoledi pomeriggio, giovedi pomeriggio, venerdi"
15,3AtMb,"mattino1, mattino2, pomeriggio",disponibile,"lunedi mattina, martedì, mercoledì, giovedì, venerdì"
16,3InA,"mattino1, mattino2, pomeriggio",,
17,4AtA,"mattino1, mattino2, pomeriggio",,
18,4MA,"mattino1, mattino2, pomeriggio",,
19,5AtIB,"mattino1, mattino2, pomeriggio",,
20,5MBCH,"mattino1, mattino2, pomeriggio",,
21,3GL,"mattino1, mattino2",,
22,3CL,"mattino1, mattino2",,
23,4GL,"mattino1, mattino2",,
24,5AL,"mattino1, mattino2",,
25,3AS,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì, venerdì"
26,3ESA,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì, venerdì"
27,4AS-SAA,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì, venerdì"
28,4BS,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì, venerdì"
29,4AS,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì, venerdì"
30,4BU,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì"
31,4CU,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì"
32,4DS,pomeriggio,disponibile,"lunedì, martedì, mercoledì, giovedì, venerdì"
