classe_id,classe_nome,scuola_nome,laboratorio_id,laboratorio_nome,incontro_num,formatrice_id,formatrice_nome,settimana,giorno_num,giorno_nome,fascia_num,fascia_nome,slot,data_ora,accorpata_con
11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,2,3,Ida,0,2,Mercoledì,1,Mattino1,25,28/01/2026 09:00-11:00,
53,4C,Liceo Scientifico Leonardo da Vinci,4,citizen science,5,4,Margherita,0,2,Mercoledì,1,Mattino1,25,28/01/2026 09:00-11:00,4G
56,4G,Liceo Scientifico Leonardo da Vinci,4,citizen science,5,4,Margherita,0,2,Mercoledì,1,Mattino1,25,28/01/2026 09:00-11:00,4C
76,4A,Liceo Scientifico P. P. Pasolini,4,citizen science,2,1,Anita,0,2,Mercoledì,1,Mattino1,25,28/01/2026 09:00-11:00,4C
77,4C,Liceo Scientifico P. P. Pasolini,4,citizen science,2,1,Anita,0,2,Mercoledì,1,Mattino1,25,28/01/2026 09:00-11:00,4A
81,5E,Liceo Scientifico P. P. Pasolini,4,citizen science,3,2,Andreea,0,2,Mercoledì,1,Mattino1,25,28/01/2026 09:00-11:00,
10,3CI,IIS Amedeo D'Aosta,4,citizen science,1,2,Andreea,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,4CI
12,4CI,IIS Amedeo D'Aosta,4,citizen science,1,2,Andreea,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,3CI
21,3GL,IIS PeanoRosa,4,citizen science,5,3,Ida,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,5AL
24,5AL,IIS PeanoRosa,4,citizen science,5,3,Ida,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,3GL
27,4AS-SAA,Liceo Pascal,4,citizen science,4,1,Anita,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,4AS
29,4AS,Liceo Pascal,4,citizen science,4,1,Anita,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,4AS-SAA
43,3DSA,Liceo Scientifico G. Galilei,5,orientamento e competenze,2,4,Margherita,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,4CSA
49,4CSA,Liceo Scientifico G. Galilei,5,orientamento e competenze,2,4,Margherita,0,2,Mercoledì,2,Mattino2,26,28/01/2026 11:00-13:00,3DSA
5,5B,IIS. E. Mattei,8,presentazione manuali,1,1,Anita,0,2,Mercoledì,3,Pomeriggio,27,28/01/2026 14:00-16:00,5C
6,5C,IIS. E. Mattei,8,presentazione manuali,1,1,Anita,0,2,Mercoledì,3,Pomeriggio,27,28/01/2026 14:00-16:00,5B
36,3F,Liceo Scientifico Einstein,4,citizen science,3,3,Ida,0,2,Mercoledì,3,Pomeriggio,27,28/01/2026 14:00-16:00,3G
37,3G,Liceo Scientifico Einstein,4,citizen science,3,3,Ida,0,2,Mercoledì,3,Pomeriggio,27,28/01/2026 14:00-16:00,3F
74,3C,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,1,2,Andreea,0,2,Mercoledì,3,Pomeriggio,27,28/01/2026 14:00-16:00,5C
79,5C,Liceo Scientifico P. P. Pasolini,7,sensibilizzazione discriminazioni di genere,1,2,Andreea,0,2,Mercoledì,3,Pomeriggio,27,28/01/2026 14:00-16:00,3C
