settimana,classe_id,classe,scuola,lab_id,laboratorio,num_incontri_lab
2,9,3BLSA,IIS Amedeo D'Aosta,4,citizen science,5
3,9,3BLSA,IIS Amedeo D'Aosta,4,citizen science,5
6,9,3BLSA,IIS Amedeo D'Aosta,4,citizen science,5
9,9,3BLSA,IIS Amedeo D'Aosta,8,presentazione manuali,1
12,9,3BLSA,IIS Amedeo D'Aosta,4,citizen science,5
13,9,3BLSA,IIS Amedeo D'Aosta,4,citizen science,5
1,10,3CI,IIS Amedeo D'Aosta,4,citizen science,5
2,10,3CI,IIS Amedeo D'Aosta,8,presentazione manuali,1
6,10,3CI,IIS Amedeo D'Aosta,4,citizen science,5
8,10,3CI,IIS Amedeo D'Aosta,4,citizen science,5
10,10,3CI,IIS Amedeo D'Aosta,4,citizen science,5
12,10,3CI,IIS Amedeo D'Aosta,4,citizen science,5
3,11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,5
5,11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,5
10,11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,5
11,11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,5
13,11,4ALSA,IIS Amedeo D'Aosta,4,citizen science,5
15,11,4ALSA,IIS Amedeo D'Aosta,8,presentazione manuali,1
2,12,4CI,IIS Amedeo D'Aosta,4,citizen science,5
3,12,4CI,IIS Amedeo D'Aosta,8,presentazione manuali,1
6,12,4CI,IIS Amedeo D'Aosta,4,citizen science,5
7,12,4CI,IIS Amedeo D'Aosta,4,citizen science,5
9,12,4CI,IIS Amedeo D'Aosta,4,citizen science,5
14,12,4CI,IIS Amedeo D'Aosta,4,citizen science,5
3,14,5ALSA,IIS Amedeo D'Aosta,8,presentazione manuali,1
5,14,5ALSA,IIS Amedeo D'Aosta,4,citizen science,5
8,14,5ALSA,IIS Amedeo D'Aosta,4,citizen science,5
9,14,5ALSA,IIS Amedeo D'Aosta,4,citizen science,5
12,14,5ALSA,IIS Amedeo D'Aosta,5,orientamento e competenze,2
13,14,5ALSA,IIS Amedeo D'Aosta,4,citizen science,5
14,14,5ALSA,IIS Amedeo D'Aosta,4,citizen science,5
15,14,5ALSA,IIS Amedeo D'Aosta,5,orientamento e competenze,2
1,13,5DI,IIS Amedeo D'Aosta,5,orientamento e competenze,2
3,13,5DI,IIS Amedeo D'Aosta,8,presentazione manuali,1
14,13,5DI,IIS Amedeo D'Aosta,5,orientamento e competenze,2
2,82,3C,IIS Fermi,9,sensibilizzazione discriminazioni di genere pt.2,1
9,82,3C,IIS Fermi,5,orientamento e competenze,2
13,82,3C,IIS Fermi,5,orientamento e competenze,2
7,83,3F,IIS Fermi,5,orientamento e competenze,2
9,83,3F,IIS Fermi,9,sensibilizzazione discriminazioni di genere pt.2,1
15,83,3F,IIS Fermi,5,orientamento e competenze,2
5,84,4A,IIS Fermi,5,orientamento e competenze,2
6,84,4A,IIS Fermi,5,orientamento e competenze,2
11,84,4A,IIS Fermi,9,sensibilizzazione discriminazioni di genere pt.2,1
6,85,4B,IIS Fermi,9,sensibilizzazione discriminazioni di genere pt.2,1
12,85,4B,IIS Fermi,5,orientamento e competenze,2
14,85,4B,IIS Fermi,5,orientamento e competenze,2
2,86,5A,IIS Fermi,5,orientamento e competenze,2
11,86,5A,IIS Fermi,5,orientamento e competenze,2
