settimana,giorno,fascia,fascia_generica,tipo,classe,classe2,scuola,laboratorio,formatrice,ore
1,gio,14-16,pomeriggio,insieme,3A,3C,Liceo Scientifico P. P. Pasolini,presentazione manuali,Ida,2
1,gio,8-10,mattino1,insieme,5H,5P,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,Anita,2
1,gio,8-10,mattino1,insieme,3O,4H,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,2
1,gio,9-11,mattino2,insieme,3GL,3CL,IIS PeanoRosa,citizen science,Margherita,2
1,gio,9-11,mattino2,insieme,4ASA,4BSA,Liceo Scientifico G. Galilei,citizen science,Anita,2
1,gio,9-11,mattino2,insieme,5G,5O,Liceo Scientifico Leonardo da Vinci,presentazione manuali,Andreea,2
1,lun,14-16,pomeriggio,insieme,4BS,4BU,Liceo Pascal,orientamento e competenze,Anita,2
1,lun,14-16,pomeriggio,insieme,3ESA,4CU,Liceo Pascal,orientamento e competenze,Margherita,2
1,lun,8-10,mattino1,solo,3BLSA,,IIS Amedeo D'Aosta,citizen science,Margherita,2
1,lun,9-11,mattino2,insieme,3CI,4ALSA,IIS Amedeo D'Aosta,citizen science,Margherita,2
1,lun,9-11,mattino2,solo,3C,,IIS. E. Mattei,citizen science,Andreea,2
1,mar,8-10,mattino1,insieme,3D,5G,Liceo Scientifico Einstein,orientamento e competenze,Andreea,2
1,mer,14-16,pomeriggio,insieme,4AS-SAA,5BS,Liceo Pascal,citizen science,Andreea,2
1,mer,14-16,pomeriggio,insieme,4A,5D,Liceo Scientifico P. P. Pasolini,citizen science,Anita,2
1,ven,14-16,pomeriggio,insieme,3D,5C,Liceo Scientifico e Linguistico M.Curie,citizen science,Margherita,2
1,ven,8-10,mattino1,insieme,4MA,5AtIB,IIS L.Da Vinci-De Giorgio,orientamento e competenze,Margherita,2
1,ven,8-10,mattino1,insieme,5B,5C,IIS. E. Mattei,orientamento e competenze,Ida,2
1,ven,8-10,mattino1,insieme,3C,5E,Liceo Scientifico e Linguistico M.Curie,citizen science,Andreea,2
2,gio,14-16,pomeriggio,insieme,5AM,5E,Liceo Scientifico P. P. Pasolini,citizen science,Margherita,2
2,gio,8-10,mattino1,solo,3BLSA,,IIS Amedeo D'Aosta,citizen science,Andreea,2
2,gio,8-10,mattino1,insieme,3GL,3CL,IIS PeanoRosa,citizen science,Margherita,2
2,gio,9-11,mattino2,insieme,5D,5H,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Anita,2
2,gio,9-11,mattino2,insieme,3C,5E,Liceo Scientifico e Linguistico M.Curie,citizen science,Margherita,2
2,lun,14-16,pomeriggio,insieme,3AtMb,3InA,IIS L.Da Vinci-De Giorgio,citizen science,Ida,2
2,lun,8-10,mattino1,insieme,3CI,4ALSA,IIS Amedeo D'Aosta,citizen science,Anita,2
2,lun,9-11,mattino2,insieme,4B,5A,Liceo Scientifico Einstein,orientamento e competenze,Ida,2
2,mar,14-16,pomeriggio,solo,5DNO,,Lic. Scientifico Bafile,citizen science,Ida,2
2,mar,8-10,mattino1,solo,5AtIB,,IIS L.Da Vinci-De Giorgio,sensibilizzazione discriminazioni di genere,Andreea,2
2,mer,14-16,pomeriggio,insieme,3ESA,4BU,Liceo Pascal,presentazione manuali,Ida,2
2,mer,14-16,pomeriggio,insieme,4AS-SAA,4BS,Liceo Pascal,presentazione manuali,Anita,2
2,mer,9-11,mattino2,solo,3A,,IIS. E. Mattei,citizen science,Andreea,2
2,mer,9-11,mattino2,insieme,3O,4F,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,2
2,ven,14-16,pomeriggio,insieme,3A,5C,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Andreea,2
2,ven,8-10,mattino1,insieme,4B,5B,IIS. E. Mattei,presentazione manuali,Ida,2
2,ven,9-11,mattino2,insieme,3D,4G,Liceo Scientifico Einstein,orientamento e competenze,Anita,2
2,ven,9-11,mattino2,insieme,4BSA,5C,Liceo Scientifico G. Galilei,presentazione manuali,Andreea,2
3,gio,14-16,pomeriggio,insieme,3E,5D,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Ida,2
3,gio,8-10,mattino1,solo,4F,,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,2
3,gio,9-11,mattino2,insieme,3BLSA,3CI,IIS Amedeo D'Aosta,presentazione manuali,Andreea,2
3,lun,14-16,pomeriggio,insieme,4BNO,5DNO,Lic. Scientifico Bafile,presentazione manuali,Margherita,2
3,lun,14-16,pomeriggio,insieme,3A,5AM,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Anita,2
3,lun,9-11,mattino2,insieme,4GL,5AL,IIS PeanoRosa,citizen science,Ida,2
3,lun,9-11,mattino2,insieme,4G,5A,Liceo Scientifico Einstein,orientamento e competenze,Anita,2
3,mar,14-16,pomeriggio,insieme,4BS,5AS,Liceo Pascal,citizen science,Margherita,2
