settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
1,04-gio,29/01/2026,8-10,"3C,4A",IIS Fermi,Sulmona,orientamento e competenze,1,Anita
1,04-gio,29/01/2026,8-10,"4D,5G",Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Anita
1,04-gio,29/01/2026,10-12,4B,IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Margherita
1,04-gio,29/01/2026,10-12,4GL,IIS PeanoRosa,Nereto,citizen science,1,Andreea
1,04-gio,29/01/2026,10-12,"3O,5H",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
1,04-gio,29/01/2026,11-13,"3A,3C",IIS. E. Mattei,Vasto,citizen science,1,Margherita
1,04-gio,29/01/2026,11-13,"5F,5G",Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Andreea
1,04-gio,29/01/2026,9-13,"3A,3C",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Anita
1,04-gio,29/01/2026,14-18,3InA,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,1,Anita
1,04-gio,29/01/2026,14-18,"3AS,3ESA",Liceo Pascal,Pompei,orientamento e competenze,1,Anita
1,04-gio,29/01/2026,15-19,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Anita
1,04-gio,29/01/2026,15-19,"3E,5C",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Anita
1,05-ven,30/01/2026,8-10,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,sensibilizzazione discriminazioni di genere,1,Andreea
1,05-ven,30/01/2026,8-10,"4G,5A",Liceo Scientifico Einstein,Teramo,orientamento e competenze,1,Anita
1,05-ven,30/01/2026,8-10,"4ASA,4B",Liceo Scientifico G. Galilei,Pescara,citizen science,1,Andreea
1,05-ven,30/01/2026,8-10,5C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Ida
1,05-ven,30/01/2026,15-17,"4BS,4BU",Liceo Pascal,Pompei,orientamento e competenze,1,Margherita
1,05-ven,30/01/2026,15-17,"4C,4CSA",Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,1,Andreea
1,05-ven,30/01/2026,15-19,5E,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,1,Anita
1,06-sab,31/01/2026,9-11,"3F,5A",IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Margherita
1,06-sab,31/01/2026,11-13,5F,IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Margherita
2,01-lun,02/02/2026,15.30-17.30,"3E,5C",Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Anita
2,02-mar,03/02/2026,9-11,"3C,4A",IIS Fermi,Sulmona,orientamento e competenze,2,Andreea
2,02-mar,03/02/2026,9-11,3AtMb,IIS L.Da Vinci-De Giorgio,Lanciano,citizen science,1,Andreea
2,02-mar,03/02/2026,14-18,"4BS,4BU",Liceo Pascal,Pompei,orientamento e competenze,2,Anita
2,02-mar,03/02/2026,15.30-17.30,5E,Liceo Scientifico P. P. Pasolini,Potenza,orientamento e competenze,2,Anita
2,03-mer,04/02/2026,11-13,"4B,4C",IIS. E. Mattei,Vasto,citizen science,1,Anita
2,03-mer,04/02/2026,9-13,"4AS,4CU",Liceo Pascal,Pompei,orientamento e competenze,1,Ida
2,04-gio,05/02/2026,14.30-16.30,"3C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,1,Anita
2,05-ven,06/02/2026,14-16,5AtIB,IIS L.Da Vinci-De Giorgio,Lanciano,sensibilizzazione discriminazioni di genere,2,Margherita
2,05-ven,06/02/2026,15-17,5C,Liceo Scientifico G. Galilei,Pescara,sensibilizzazione discriminazioni di genere,2,Anita
3,01-lun,09/02/2026,8-10,"3DSA,3I",Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,2,Margherita
3,01-lun,09/02/2026,8-10,"5I,5P",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
3,01-lun,09/02/2026,8-10,"3C,5E",Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,2,Margherita
3,01-lun,09/02/2026,14-18,4BNO,Lic. Scientifico Bafile,L'Aquila,sensibilizzazione discriminazioni di genere,1,Anita
3,01-lun,09/02/2026,15-17,"4BS,4BU",Liceo Pascal,Pompei,citizen science,1,Margherita
3,02-mar,10/02/2026,9-11,"4B,4C",IIS. E. Mattei,Vasto,citizen science,2,Anita
3,02-mar,10/02/2026,9-13,"3A,3C",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,2,Andreea
3,02-mar,10/02/2026,9-13,"5C,5E",Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Andreea
3,05-ven,13/02/2026,8-10,"4F,4O",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Ida
