settimana,giorno,data,fascia,classi,scuola,citta,laboratorio,incontro,formatrice
1,04-gio,29/01/2026,8-10,"3F,4A",IIS Fermi,Sulmona,sensibilizzazione discriminazioni di genere pt.2,1,Anita
1,04-gio,29/01/2026,8-10,4C,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Ida
1,04-gio,29/01/2026,8-10,4O,Liceo Scientifico Leonardo da Vinci,Pescara,orientamento e competenze,1,Margherita
1,04-gio,29/01/2026,10-12,"3C,4C",IIS. E. Mattei,Vasto,orientamento e competenze,1,Margherita
1,04-gio,29/01/2026,10-12,"4F,5O",Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
1,04-gio,29/01/2026,10-12,5H,Liceo Scientifico Leonardo da Vinci,Pescara,sensibilizzazione discriminazioni di genere,1,Margherita
1,04-gio,29/01/2026,11-13,3A,IIS. E. Mattei,Vasto,citizen science,1,Anita
1,04-gio,29/01/2026,9-13,5D,Liceo Scientifico P. P. Pasolini,Potenza,citizen science,1,Ida
1,04-gio,29/01/2026,14.30-16.30,3C,Liceo Scientifico e Linguistico M.Curie,Giulianova,citizen science,1,Ida
1,04-gio,29/01/2026,15-19,4BSA,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Anita
1,04-gio,29/01/2026,15.30-17.30,"3A,3C",Liceo Scientifico P. P. Pasolini,Potenza,sensibilizzazione discriminazioni di genere,1,Anita
1,05-ven,30/01/2026,8-10,3G,Liceo Scientifico Einstein,Teramo,citizen science,1,Andreea
1,05-ven,30/01/2026,8-10,3DSA,Liceo Scientifico G. Galilei,Pescara,orientamento e competenze,1,Margherita
1,05-ven,30/01/2026,9-11,4D,Liceo Scientifico Leonardo da Vinci,Pescara,citizen science,1,Anita
1,05-ven,30/01/2026,10-12,"4GL,5AL",IIS PeanoRosa,Nereto,orientamento e competenze,1,Andreea
1,05-ven,30/01/2026,9-13,"4AS,4BS",Liceo Pascal,Pompei,orientamento e competenze,1,Ida
1,05-ven,30/01/2026,15-17,4BU,Liceo Pascal,Pompei,orientamento e competenze,1,Anita
1,05-ven,30/01/2026,15-17,4ASA,Liceo Scientifico G. Galilei,Pescara,citizen science,1,Margherita
2,01-lun,02/02/2026,8-10,"3BLSA,4CI",IIS Amedeo D'Aosta,L'Aquila,citizen science,1,Anita
