Settimana,Giorno,Fascia Oraria,Data e Ora,Classi,N. Classi,Scuola,Laboratorio,Formatrice,Accorpamento
0,Giovedì,Mattino1,29/01/2026 09:00-11:00,"3A, 3C",2,IIS. E. Mattei,citizen science,Andreea,Sì
0,Giovedì,Mattino1,29/01/2026 09:00-11:00,"3CI, 4CI",2,IIS Amedeo D'Aosta,citizen science,Ida,Sì
0,Giovedì,Mattino1,29/01/2026 09:00-11:00,"4GL, 5AL",2,IIS PeanoRosa,citizen science,Anita,Sì
0,Giovedì,Mattino1,29/01/2026 09:00-11:00,"4ASA, 4B",2,Liceo Scientifico G. Galilei,citizen science,Margherita,Sì
0,Giovedì,Mattino2,29/01/2026 11:00-13:00,"3D, 4G",2,Liceo Scientifico Einstein,orientamento e competenze,Ida,Sì
0,Giovedì,Mattino2,29/01/2026 11:00-13:00,3I,1,Liceo Scientifico G. Galilei,orientamento e competenze,Anita,No
0,Giovedì,Mattino2,29/01/2026 11:00-13:00,"4BSA, 4H",2,Liceo Scientifico G. Galilei,citizen science,Margherita,Sì
0,Giovedì,Mattino2,29/01/2026 11:00-13:00,"4C, 4CSA",2,Liceo Scientifico G. Galilei,orientamento e competenze,Andreea,Sì
0,Giovedì,Pomeriggio,29/01/2026 14:00-16:00,3A,1,Liceo Scientifico P. P. Pasolini,citizen science,Andreea,No
0,Giovedì,Pomeriggio,29/01/2026 14:00-16:00,"5AM, 5E",2,Liceo Scientifico P. P. Pasolini,citizen science,Anita,Sì
0,Venerdì,Mattino1,30/01/2026 09:00-11:00,"3O, 4C, 4D, 4F",4,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
0,Venerdì,Mattino1,30/01/2026 09:00-11:00,"4G, 5G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
0,Venerdì,Mattino2,30/01/2026 11:00-13:00,"4B, 4C",2,IIS. E. Mattei,citizen science,Anita,Sì
0,Venerdì,Mattino2,30/01/2026 11:00-13:00,"3AtMb, 3InA",2,IIS L.Da Vinci-De Giorgio,citizen science,Ida,Sì
0,Venerdì,Mattino2,30/01/2026 11:00-13:00,"4H, 5F",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
0,Venerdì,Pomeriggio,30/01/2026 14:00-16:00,"4MA, 5AtIB",2,IIS L.Da Vinci-De Giorgio,orientamento e competenze,Anita,Sì
0,Venerdì,Pomeriggio,30/01/2026 14:00-16:00,"5AS, 5BS",2,Liceo Pascal,citizen science,Andreea,Sì
0,Venerdì,Pomeriggio,30/01/2026 14:00-16:00,"3C, 3E",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,Margherita,Sì
0,Sabato,Mattino1,31/01/2026 09:00-11:00,"3C, 4B",2,IIS Fermi,orientamento e competenze,Margherita,Sì
0,Sabato,Mattino2,31/01/2026 11:00-13:00,"3F, 5F",2,IIS Fermi,orientamento e competenze,Margherita,Sì
1,Lunedì,Mattino1,02/02/2026 09:00-11:00,"3AtMb, 5MBCH",2,IIS L.Da Vinci-De Giorgio,presentazione manuali,Ida,Sì
1,Lunedì,Mattino1,02/02/2026 09:00-11:00,"4F, 5F",2,Liceo Scientifico Leonardo da Vinci,citizen science,Anita,Sì
1,Lunedì,Mattino2,02/02/2026 11:00-13:00,"5B, 5C",2,IIS. E. Mattei,orientamento e competenze,Anita,Sì
1,Lunedì,Mattino2,02/02/2026 11:00-13:00,"4GL, 5AL",2,IIS PeanoRosa,orientamento e competenze,Ida,Sì
1,Lunedì,Mattino2,02/02/2026 11:00-13:00,"3O, 4D",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
1,Lunedì,Pomeriggio,02/02/2026 14:00-16:00,"5AM, 5C, 5D, 5E",4,Liceo Scientifico P. P. Pasolini,presentazione manuali,Andreea,Sì
1,Martedì,Mattino1,03/02/2026 09:00-11:00,"4B, 4C",2,IIS. E. Mattei,citizen science,Anita,Sì
1,Martedì,Mattino1,03/02/2026 09:00-11:00,"4C, 5G",2,Liceo Scientifico Leonardo da Vinci,citizen science,Andreea,Sì
1,Martedì,Mattino1,03/02/2026 09:00-11:00,"5C, 5E",2,Liceo Scientifico e Linguistico M.Curie,presentazione manuali,Ida,Sì
1,Martedì,Mattino2,03/02/2026 11:00-13:00,5C,1,Liceo Scientifico G. Galilei,orientamento e competenze,Andreea,No
1,Martedì,Mattino2,03/02/2026 11:00-13:00,"4O, 5D, 5H, 5I",4,Liceo Scientifico Leonardo da Vinci,orientamento e competenze,Anita,Sì
1,Martedì,Pomeriggio,03/02/2026 14:00-16:00,"4AS, 4BS",2,Liceo Pascal,citizen science,Ida,Sì
