Laboratorio,Incontro N.,Settimana,Giorno,Fascia Oraria,Data e Ora,Formatrice,Accorpata Con
citizen science,2,1,Sabato,Mattino1,07/02/2026 09:00-11:00,Andreea,5D
orientamento e competenze,1,2,Sabato,Mattino1,14/02/2026 09:00-11:00,Anita,3C
orientamento e competenze,2,3,Lunedì,Mattino1,16/02/2026 09:00-11:00,Andreea,3C
citizen science,4,4,Mercoledì,Mattino1,25/02/2026 09:00-11:00,Andreea,5D
sensibilizzazione discriminazioni di genere,2,5,Lunedì,Mattino2,02/03/2026 11:00-13:00,Ida,3E
citizen science,5,6,Sabato,Pomeriggio,14/03/2026 14:00-16:00,Andreea,5D
presentazione manuali,1,7,Lunedì,Pomeriggio,16/03/2026 14:00-16:00,Anita,4A
citizen science,1,8,Mercoledì,Mattino1,25/03/2026 09:00-11:00,Andreea,5D
sensibilizzazione discriminazioni di genere,1,9,Mercoledì,Mattino1,01/04/2026 09:00-11:00,Margherita,3E
citizen science,3,12,Giovedì,Mattino2,30/04/2026 11:00-13:00,Andreea,5D
