Laboratorio,Incontro N.,Settimana,Giorno,Fascia Oraria,Data e Ora,Formatrice,Accorpata Con
sensibilizzazione discriminazioni di genere,1,0,Giovedì,Mattino1,29/01/2026 09:00-11:00,Andreea,
presentazione manuali,1,1,Lunedì,Mattino1,02/02/2026 09:00-11:00,Andreea,3C
citizen science,2,2,Lunedì,Mattino1,09/02/2026 09:00-11:00,Andreea,3A
citizen science,4,4,Mercoledì,Mattino1,25/02/2026 09:00-11:00,Andreea,3A
orientamento e competenze,2,5,Lunedì,Mattino1,02/03/2026 09:00-11:00,Andreea,5C
citizen science,5,6,Sabato,Pomeriggio,14/03/2026 14:00-16:00,Andreea,3A
orientamento e competenze,1,7,Lunedì,Mattino1,16/03/2026 09:00-11:00,Andreea,5C
citizen science,1,8,Mercoledì,Mattino1,25/03/2026 09:00-11:00,Andreea,3A
sensibilizzazione discriminazioni di genere,2,9,Mercoledì,Mattino2,01/04/2026 11:00-13:00,Andreea,
citizen science,3,12,Giovedì,Mattino2,30/04/2026 11:00-13:00,Andreea,3A
