Classi,N. Classi,Scuola,Laboratorio,Settimana,Giorno,Fascia Oraria,Data e Ora,Accorpamento
"3O, 5F",2,Liceo Scientifico Leonardo da Vinci,citizen science,0,Giovedì,Mattino1,29/01/2026 09:00-11:00,Sì
"3BLSA, 3CI",2,IIS Amedeo D'Aosta,citizen science,0,Giovedì,Mattino2,29/01/2026 11:00-13:00,Sì
4C,1,Liceo Scientifico Leonardo da Vinci,citizen science,0,Giovedì,Pomeriggio,29/01/2026 14:00-16:00,No
"4ASA, 4H",2,Liceo Scientifico G. Galilei,citizen science,0,Venerdì,Mattino1,30/01/2026 09:00-11:00,Sì
"4D, 4F, 4G, 4H",4,Liceo Scientifico Leonardo da Vinci,citizen science,0,Venerdì,Mattino2,30/01/2026 11:00-13:00,Sì
"4B, 4H",2,Liceo Scientifico G. Galilei,citizen science,1,Lunedì,Mattino2,02/02/2026 11:00-13:00,Sì
3A,1,Liceo Scientifico e Linguistico M.Curie,orientamento e competenze,1,Lunedì,Pomeriggio,02/02/2026 14:00-16:00,No
"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,citizen science,1,Martedì,Mattino1,03/02/2026 09:00-11:00,Sì
"3C, 4B",2,IIS Fermi,orientamento e competenze,1,Martedì,Mattino2,03/02/2026 11:00-13:00,Sì
"4C, 5E",2,Liceo Scientifico P. P. Pasolini,citizen science,1,Mercoledì,Pomeriggio,04/02/2026 14:00-16:00,Sì
3O,1,Liceo Scientifico Leonardo da Vinci,citizen science,1,Giovedì,Mattino1,05/02/2026 09:00-11:00,No
"4G, 4H",2,Liceo Scientifico Leonardo da Vinci,citizen science,1,Giovedì,Mattino2,05/02/2026 11:00-13:00,Sì
4CSA,1,Liceo Scientifico G. Galilei,orientamento e competenze,1,Venerdì,Mattino2,06/02/2026 11:00-13:00,No
4C,1,Liceo Scientifico Leonardo da Vinci,citizen science,1,Venerdì,Pomeriggio,06/02/2026 14:00-16:00,No
3C,1,Liceo Scientifico P. P. Pasolini,orientamento e competenze,2,Lunedì,Mattino1,09/02/2026 09:00-11:00,No
4CSA,1,Liceo Scientifico G. Galilei,orientamento e competenze,2,Lunedì,Mattino2,09/02/2026 11:00-13:00,No
4C,1,Liceo Scientifico Leonardo da Vinci,citizen science,2,Lunedì,Pomeriggio,09/02/2026 14:00-16:00,No
"4D, 4F",2,Liceo Scientifico Leonardo da Vinci,citizen science,2,Martedì,Mattino1,10/02/2026 09:00-11:00,Sì
"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,citizen science,2,Martedì,Mattino2,10/02/2026 11:00-13:00,Sì
"4AS-SAA, 4DS",2,Liceo Pascal,citizen science,2,Mercoledì,Pomeriggio,11/02/2026 14:00-16:00,Sì
"3DSA, 3I",2,Liceo Scientifico G. Galilei,orientamento e competenze,2,Giovedì,Mattino1,12/02/2026 09:00-11:00,Sì
"3C, 4B",2,IIS Fermi,orientamento e competenze,2,Giovedì,Mattino2,12/02/2026 11:00-13:00,Sì
"5C, 5D",2,Liceo Scientifico P. P. Pasolini,citizen science,2,Giovedì,Pomeriggio,12/02/2026 14:00-16:00,Sì
"4H, 5F",2,Liceo Scientifico Leonardo da Vinci,citizen science,2,Venerdì,Mattino1,13/02/2026 09:00-11:00,Sì
"5A, 5G",2,Liceo Scientifico Einstein,orientamento e competenze,2,Venerdì,Mattino2,13/02/2026 11:00-13:00,Sì
"5AS, 5BS",2,Liceo Pascal,citizen science,2,Venerdì,Pomeriggio,13/02/2026 14:00-16:00,Sì
"4D, 5F",2,Liceo Scientifico Leonardo da Vinci,citizen science,3,Lunedì,Mattino1,16/02/2026 09:00-11:00,Sì
"4F, 4H",2,Liceo Scientifico Leonardo da Vinci,citizen science,3,Lunedì,Mattino2,16/02/2026 11:00-13:00,Sì
4C,1,Liceo Scientifico Leonardo da Vinci,citizen science,3,Lunedì,Pomeriggio,16/02/2026 14:00-16:00,No
"3A, 3E",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,3,Mercoledì,Pomeriggio,18/02/2026 14:00-16:00,Sì
"3O, 4G",2,Liceo Scientifico Leonardo da Vinci,citizen science,3,Giovedì,Mattino1,19/02/2026 09:00-11:00,Sì
"3C, 3D",2,Liceo Scientifico e Linguistico M.Curie,citizen science,3,Giovedì,Mattino2,19/02/2026 11:00-13:00,Sì
5DNO,1,Lic. Scientifico Bafile,citizen science,3,Giovedì,Pomeriggio,19/02/2026 14:00-16:00,No
5AM,1,Liceo Scientifico P. P. Pasolini,citizen science,3,Venerdì,Pomeriggio,20/02/2026 14:00-16:00,No
"3CL, 3GL",2,IIS PeanoRosa,citizen science,4,Lunedì,Mattino2,23/02/2026 11:00-13:00,Sì
