Classi,N. Classi,Scuola,Laboratorio,Settimana,Giorno,Fascia Oraria,Data e Ora,Accorpamento
4ALSA,1,IIS Amedeo D'Aosta,citizen science,0,Mercoledì,Mattino1,28/01/2026 09:00-11:00,No
"3GL, 5AL",2,IIS PeanoRosa,citizen science,0,Mercoledì,Mattino2,28/01/2026 11:00-13:00,Sì
"3F, 3G",2,Liceo Scientifico Einstein,citizen science,0,Mercoledì,Pomeriggio,28/01/2026 14:00-16:00,Sì
4BNO,1,Lic. Scientifico Bafile,sensibilizzazione discriminazioni di genere,0,Giovedì,Mattino1,29/01/2026 09:00-11:00,No
5DI,1,IIS Amedeo D'Aosta,orientamento e competenze,0,Sabato,Mattino1,31/01/2026 09:00-11:00,No
"3BLSA, 5ALSA",2,IIS Amedeo D'Aosta,citizen science,0,Sabato,Mattino2,31/01/2026 11:00-13:00,Sì
"4BS, 5AS",2,Liceo Pascal,citizen science,0,Sabato,Pomeriggio,31/01/2026 14:00-16:00,Sì
5ALSA,1,IIS Amedeo D'Aosta,orientamento e competenze,1,Lunedì,Mattino1,02/02/2026 09:00-11:00,No
"4B, 4D",2,Liceo Scientifico Einstein,orientamento e competenze,1,Martedì,Mattino1,03/02/2026 09:00-11:00,Sì
"3CI, 4CI",2,IIS Amedeo D'Aosta,citizen science,1,Martedì,Mattino2,03/02/2026 11:00-13:00,Sì
"4CU, 5BS",2,Liceo Pascal,citizen science,1,Martedì,Pomeriggio,03/02/2026 14:00-16:00,Sì
4F,1,Liceo Scientifico Leonardo da Vinci,sensibilizzazione discriminazioni di genere,1,Mercoledì,Mattino1,04/02/2026 09:00-11:00,No
3BLSA,1,IIS Amedeo D'Aosta,citizen science,1,Sabato,Mattino1,07/02/2026 09:00-11:00,No
"3F, 4G",2,Liceo Scientifico Einstein,presentazione manuali,1,Sabato,Mattino2,07/02/2026 11:00-13:00,Sì
4C,1,IIS. E. Mattei,citizen science,1,Sabato,Pomeriggio,07/02/2026 14:00-16:00,No
5ALSA,1,IIS Amedeo D'Aosta,citizen science,2,Lunedì,Mattino1,09/02/2026 09:00-11:00,No
3C,1,IIS. E. Mattei,citizen science,2,Lunedì,Pomeriggio,09/02/2026 14:00-16:00,No
"4BS, 4BU",2,Liceo Pascal,orientamento e competenze,2,Martedì,Mattino1,10/02/2026 09:00-11:00,Sì
"4GL, 5AL",2,IIS PeanoRosa,orientamento e competenze,2,Mercoledì,Mattino1,11/02/2026 09:00-11:00,Sì
5C,1,Liceo Scientifico G. Galilei,orientamento e competenze,2,Mercoledì,Mattino2,11/02/2026 11:00-13:00,No
"4B, 5G",2,Liceo Scientifico Einstein,presentazione manuali,2,Mercoledì,Pomeriggio,11/02/2026 14:00-16:00,Sì
3BLSA,1,IIS Amedeo D'Aosta,citizen science,2,Sabato,Mattino1,14/02/2026 09:00-11:00,No
5BS,1,Liceo Pascal,citizen science,2,Sabato,Mattino2,14/02/2026 11:00-13:00,No
5ALSA,1,IIS Amedeo D'Aosta,citizen science,3,Lunedì,Mattino1,16/02/2026 09:00-11:00,No
4CU,1,Liceo Pascal,citizen science,3,Lunedì,Mattino2,16/02/2026 11:00-13:00,No
5BS,1,Liceo Pascal,citizen science,3,Sabato,Mattino1,21/02/2026 09:00-11:00,No
4BS,1,Liceo Pascal,citizen science,3,Sabato,Mattino2,21/02/2026 11:00-13:00,No
4CU,1,Liceo Pascal,citizen science,4,Lunedì,Mattino1,23/02/2026 09:00-11:00,No
5AS,1,Liceo Pascal,citizen science,4,Lunedì,Mattino2,23/02/2026 11:00-13:00,No
"3D, 5C",2,Liceo Scientifico e Linguistico M.Curie,citizen science,4,Lunedì,Pomeriggio,23/02/2026 14:00-16:00,Sì
3F,1,Liceo Scientifico Einstein,citizen science,4,Sabato,Mattino1,28/02/2026 09:00-11:00,No
3E,1,Liceo Scientifico P. P. Pasolini,sensibilizzazione discriminazioni di genere,4,Sabato,Mattino2,28/02/2026 11:00-13:00,No
3G,1,Liceo Scientifico Einstein,citizen science,5,Lunedì,Mattino1,02/03/2026 09:00-11:00,No
3A,1,Liceo Scientifico P. P. Pasolini,sensibilizzazione discriminazioni di genere,5,Lunedì,Mattino2,02/03/2026 11:00-13:00,No
5C,1,Liceo Scientifico e Linguistico M.Curie,citizen science,5,Sabato,Mattino1,07/03/2026 09:00-11:00,No
3CI,1,IIS Amedeo D'Aosta,citizen science,5,Sabato,Mattino2,07/03/2026 11:00-13:00,No
4ALSA,1,IIS Amedeo D'Aosta,presentazione manuali,5,Sabato,Pomeriggio,07/03/2026 14:00-16:00,No
3D,1,Liceo Scientifico e Linguistico M.Curie,citizen science,6,Lunedì,Mattino1,09/03/2026 09:00-11:00,No
4CI,1,IIS Amedeo D'Aosta,citizen science,6,Lunedì,Mattino2,09/03/2026 11:00-13:00,No
5DI,1,IIS Amedeo D'Aosta,presentazione manuali,6,Lunedì,Pomeriggio,09/03/2026 14:00-16:00,No
3F,1,Liceo Scientifico Einstein,citizen science,6,Sabato,Mattino1,14/03/2026 09:00-11:00,No
3G,1,Liceo Scientifico Einstein,citizen science,6,Sabato,Mattino2,14/03/2026 11:00-13:00,No
3AtMb,1,IIS L.Da Vinci-De Giorgio,presentazione manuali,6,Sabato,Pomeriggio,14/03/2026 14:00-16:00,No
3G,1,Liceo Scientifico Einstein,citizen science,7,Lunedì,Mattino1,16/03/2026 09:00-11:00,No
3F,1,Liceo Scientifico Einstein,citizen science,7,Lunedì,Mattino2,16/03/2026 11:00-13:00,No
4AtA,1,IIS L.Da Vinci-De Giorgio,presentazione manuali,7,Lunedì,Pomeriggio,16/03/2026 14:00-16:00,No
"3CI, 4CI",2,IIS Amedeo D'Aosta,presentazione manuali,7,Martedì,Mattino1,17/03/2026 09:00-11:00,Sì
"3BLSA, 5ALSA",2,IIS Amedeo D'Aosta,presentazione manuali,7,Martedì,Mattino2,17/03/2026 11:00-13:00,Sì
"4F, 5G",2,Liceo Scientifico Leonardo da Vinci,citizen science,7,Mercoledì,Mattino1,18/03/2026 09:00-11:00,Sì
4AS,1,Liceo Pascal,citizen science,7,Sabato,Mattino2,21/03/2026 11:00-13:00,No
"4CU, 5BS",2,Liceo Pascal,citizen science,8,Lunedì,Mattino1,23/03/2026 09:00-11:00,Sì
4AS-SAA,1,Liceo Pascal,citizen science,8,Lunedì,Mattino2,23/03/2026 11:00-13:00,No
"3E, 5E",2,Liceo Scientifico P. P. Pasolini,orientamento e competenze,8,Mercoledì,Mattino1,25/03/2026 09:00-11:00,Sì
"3CI, 4CI",2,IIS Amedeo D'Aosta,citizen science,8,Mercoledì,Mattino2,25/03/2026 11:00-13:00,Sì
